pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
Kepler-1104 b,1.23,2.04,1321.0,0.06321,6417.0,1.41,1.3,Kepler-1104 b,0,0.29083891,0,0,1543.2835,Terran
Kepler-1901 b,1.47418907,2.77,1132.0,0.0453,5696.0,0.921,1.022,Kepler-1901 b,0,0.28289594,0,0,1349.3556,Terran
Kepler-62 c,0.54,4.0,578.0,0.0929,4925.0,0.64,0.69,Kepler-62 c,0,0.31535213,0,0,638.8776,Subterran
GJ 357 d,2.34,6.1,219.6,0.204,3505.0,0.337,0.342,GJ 357 d,2,0.57551752,1,1,226.26138,Superterran
Kepler-1604 b,1.41,2.57,2023.0,0.01406,4976.0,0.76,0.81,Kepler-1604 b,0,0.28310507,0,0,2251.5444,Terran
Kepler-804 b,1.94,4.42,779.0,0.11287,5817.0,1.05,1.01,Kepler-804 b,0,0.27295717,0,0,878.10265,Superterran
TOI-4342 b,2.329,7.3,639.0,0.0519,3866.0,0.598,0.587,TOI-4342 b,0,0.28836774,0,0,656.22763,Superterran
TOI-4342 c,2.349,4.8,514.0,0.0804,3866.0,0.598,0.587,TOI-4342 c,0,0.33963825,0,0,527.06396,Superterran
K2-19 d,1.044,6.2,1258.0,0.03478,5350.0,0.824,0.892,K2-19 d,0,0.29529813,0,0,1301.3565,Terran
Kepler-203 d,1.44,33.9,855.0,0.1,5821.0,1.114,1.06,Kepler-203 d,0,0.29260489,0,0,960.34111,Terran
Kepler-1221 b,1.88,4.19,632.0,0.0906,5194.0,0.82,0.87,Kepler-1221 b,0,0.28526323,0,0,779.13268,Superterran
K2-111 b,1.837,5.35,1293.0,0.0565,5775.0,1.25,0.84,K2-111 b,0,0.26587049,0,0,1420.2969,Superterran
Kepler-1943 b,1.54869189,3.02,1098.0,0.05975,6032.0,0.973,1.055,Kepler-1943 b,0,0.27829442,0,0,1555.4551,Terran
Kepler-651 b,2.37,6.21,574.0,0.14078,5522.0,0.87,0.92,Kepler-651 b,0,0.28143689,0,0,662.55208,Superterran
Kepler-1879 b,2.06512018,4.92,987.0,0.0957,5865.0,1.388,1.023,Kepler-1879 b,0,0.25641309,0,0,1162.4628,Superterran
Kepler-364 c,2.15,5.27,568.0,0.312,6108.0,1.284,1.076,Kepler-364 c,0,0.30218733,0,0,630.3739,Superterran
Kepler-828 b,1.51,2.89,1848.0,0.01228,5039.0,0.77,0.81,Kepler-828 b,0,0.2792,0,0,1882.4373,Terran
Kepler-229 b,2.2,5.48,823.0,0.062,5120.0,0.728,0.808,Kepler-229 b,0,0.26211915,0,0,847.67559,Superterran
Kepler-1689 b,0.94678642,0.799,879.0,0.0784,5731.43,0.996208,1.023,Kepler-1689 b,0,0.30191022,0,0,1009.0765,Terran
Kepler-629 b,1.38,2.48,816.0,0.07107,5444.0,0.84,0.93,Kepler-629 b,0,0.29738625,0,0,916.08448,Terran
Kepler-1384 b,1.94,4.42,608.0,0.1126,4919.0,0.74,0.78,Kepler-1384 b,0,0.31399112,0,0,628.64624,Superterran
Kepler-847 b,1.18,1.76,1054.0,0.0315,4940.0,0.77,0.83,Kepler-847 b,0,0.29496684,0,0,1210.6546,Terran
Kepler-1262 b,1.82,3.97,949.0,0.083,5771.0,0.98,0.99,Kepler-1262 b,0,0.27540765,0,0,940.01866,Superterran
Kepler-764 b,1.64,3.33,875.0,0.0724,5557.0,0.89,0.92,Kepler-764 b,0,0.28219116,0,0,988.68111,Superterran
Kepler-824 b,1.87,4.16,1231.0,0.055,6035.0,1.22,1.15,Kepler-824 b,0,0.26420237,0,0,1315.9645,Superterran
Kepler-743 b,1.21,1.92,1101.0,0.04166,5486.0,0.85,0.94,Kepler-743 b,0,0.2933874,0,0,1271.5615,Terran
Kepler-821 b,1.31,2.27,1215.0,0.029,5191.0,0.8,0.84,Kepler-821 b,0,0.2892744,0,0,1370.0188,Terran
TOI-776 c,2.047,6.9,420.0,0.1001,3725.0,0.547,0.542,TOI-776 c,0,0.47504892,0,0,427.9392,Superterran
