pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbeccen,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
TOI-1064 c,2.651,2.5,634.0,12.226574,0.088,0.09429,26.8,4734.0,0.726,0.748,0.05,TOI-1064 c,0,0.26984246,0,0,654.23243,Terran
Kepler-339 b,1.42,2.6,1023.0,4.977656,0.0,0.055,159.945,5631.0,0.802,0.87,0.033,Kepler-339 b,0,0.29093331,0,0,1024.458,Terran
Kepler-1409 b,1.04,1.12,1733.0,0.764864926,0.0,0.01553,1552.133,5160.0,0.79,0.83,-0.03,Kepler-1409 b,0,0.29362,0,0,1830.2218,Terran
Kepler-363 b,1.16,1.65,1347.0,3.614568,0.0,0.048,1000.243,5593.0,1.485,1.226,0.3965,Kepler-363 b,0,0.29235675,0,0,1620.1488,Terran
Kepler-589 b,2.27,5.77,656.0,16.54964934,0.0,0.1196,32.142,5296.0,0.83,0.88,0.01,Kepler-589 b,0,0.28189519,0,0,681.25536,Superterran
Kepler-301 d,1.75,3.71,725.0,13.751243,0.0,0.112,68.931,5815.0,0.9,1.022,0.187,Kepler-301 d,0,0.28731686,0,0,820.94963,Superterran
Kepler-769 c,1.79,3.86,803.0,15.9870174,0.0,0.1297,86.761,6186.0,1.28,1.19,0.06,Kepler-769 c,0,0.28007181,0,0,885.5346,Superterran
Kepler-1250 b,1.92,4.35,1431.0,2.607543834,0.0,0.0393,1866.193,5717.0,0.98,0.99,0.04,Kepler-1250 b,0,0.25957188,0,0,1767.9877,Superterran
Kepler-1459 b,1.36,2.42,349.0,62.8691611,0.0,0.2829,3.511,4828.0,0.74,0.78,0.01,Kepler-1459 b,0,0.57680628,0,0,400.27554,Terran
Kepler-97 b,1.48,3.51,1328.0,2.58664,0.0,0.03563,767.964,5779.0,0.98,0.94,-0.2,Kepler-97 b,0,0.28163376,0,0,1502.5909,Terran
